state,action,next_state,SINR
"[1, 2000000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 2, 3, 0, 1, 0, 0]","[1, 2000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",8.381820678710938
"[1, 2000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0]","[1, 2000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",13.838666915893555
"[1, 2000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 1, 0, 4, 0, 0, 0]","[1, 2000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-8.02924633026123
"[1, 2000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 2, 1, 2, 0, 1, 0]","[1, 2000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-0.811058759689331
"[1, 2000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[4, 1, 3, 3, 1, 0, 0]","[1, 2000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",7.452862739562988
"[1, 2000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 2, 3, 4, 1, 1, 0]","[1, 2000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-2.248523712158203
"[1, 2000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[0, 1, 1, 2, 0, 0, 0]","[1, 3000000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",11.06782054901123
"[1, 3000000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[4, 0, 0, 1, 1, 1, 0]","[1, 3000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",1.9639207124710083
"[1, 3000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[1, 0, 1, 3, 1, 1, 0]","[1, 3000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-11.910844802856445
"[1, 3000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 1, 3, 4, 0, 1, 0]","[1, 3000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",0.6873021125793457
"[1, 3000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 2, 3, 0, 1, 0, 0]","[1, 3000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-0.22260433435440063
"[1, 3000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[4, 2, 3, 0, 1, 0, 0]","[1, 3000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",11.211629867553711
"[1, 3000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 1, 3, 0, 1, 0, 0]","[1, 3000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",7.706550598144531
"[1, 3000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 1, 0, 3, 0, 1, 0]","[1, 3500000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",8.127809524536133
"[1, 3500000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[4, 2, 0, 4, 1, 0, 0]","[1, 3500000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-0.5663990378379822
